ensembl_transcript_id,Rate_60to120min
ENST00000003302,1454.1833333333334
ENST00000008527,1841.6833333333334
ENST00000169298,208.33333333333334
ENST00000176763,2420.8333333333335
ENST00000178640,158.33333333333334
ENST00000181796,1162.5
ENST00000182527,1487.5166666666667
ENST00000190611,45.833333333333336
ENST00000202677,1879.1666666666667
ENST00000206262,141.66666666666666
ENST00000216181,1937.5166666666667
ENST00000217246,75
ENST00000219689,1620.85
ENST00000220616,1383.3333333333333
ENST00000220763,3375
ENST00000222673,1866.6833333333334
ENST00000225737,1387.5166666666667
ENST00000227349,1145.85
ENST00000228705,2700
ENST00000230173,2408.35
ENST00000230538,583.3333333333334
ENST00000233156,1658.35
ENST00000233741,1529.1833333333334
ENST00000234195,1950.0166666666667
ENST00000235307,2650
ENST00000236698,3941.6666666666665
ENST00000242067,5100
ENST00000242505,1425.0166666666667
ENST00000243077,1545.85
ENST00000244751,1804.1833333333334
ENST00000245441,2016.6833333333334
ENST00000246166,1425.0166666666667
ENST00000248306,1904.1666666666667
ENST00000251157,3841.6666666666665
ENST00000251507,5204.166666666667
ENST00000251630,150
ENST00000251691,562.5
ENST00000252032,1787.5
ENST00000253861,2633.3333333333335
ENST00000254480,3258.3333333333335
ENST00000254624,1987.5166666666667
ENST00000254730,1154.1666666666667
ENST00000255194,3308.3333333333335
ENST00000255559,2320.8333333333335
ENST00000256062,1387.5
ENST00000256190,4104.166666666667
ENST00000256324,2020.85
ENST00000256339,608.3333333333334
ENST00000256413,2954.1666666666665
ENST00000256544,1316.6833333333334
ENST00000256637,1629.1833333333334
ENST00000256935,4137.5
ENST00000256958,1620.85
ENST00000257209,104.16666666666667
ENST00000258229,2691.6666666666665
ENST00000259008,3020.8333333333335
ENST00000259351,104.16666666666667
ENST00000260126,8.333333333333334
ENST00000261037,150
ENST00000261192,54.166666666666664
ENST00000261205,1845.8333333333333
ENST00000261396,1295.85
ENST00000261439,2562.5
ENST00000261448,1308.35
ENST00000261491,3083.3333333333335
ENST00000261588,679.1666666666666
ENST00000261592,3045.85
ENST00000261643,2279.1666666666665
ENST00000261726,1929.1666666666667
ENST00000261776,2054.1833333333334
ENST00000261861,1812.5
ENST00000262215,75
ENST00000262305,1783.35
ENST00000262320,1241.6833333333334
ENST00000262367,2537.5
ENST00000262424,1616.6833333333334
ENST00000262457,3141.6666666666665
ENST00000262539,495.8333333333333
ENST00000262570,2666.6666666666665
ENST00000262593,575
ENST00000262719,2762.5
ENST00000262738,737.5
ENST00000262839,8.333333333333334
ENST00000262854,1916.6666666666667
ENST00000262961,1170.85
ENST00000263054,404.1666666666667
ENST00000263073,3920.8333333333335
ENST00000263208,1841.6833333333334
ENST00000263321,1541.6833333333334
ENST00000263334,1175.0166666666667
ENST00000263563,1625.0166666666667
ENST00000263650,1462.5166666666667
ENST00000263713,2750
ENST00000263734,1650.0166666666667
ENST00000263754,2058.35
ENST00000263801,1883.35
ENST00000264159,2179.1666666666665
ENST00000264235,4333.333333333333
ENST00000264245,1550
ENST00000264276,1491.6833333333334
ENST00000264363,1825
ENST00000264399,691.6666666666666
ENST00000264664,1354.1833333333334
ENST00000264731,566.6666666666666
ENST00000264741,1308.3333333333333
ENST00000264758,1595.85
ENST00000264808,3708.35
ENST00000264870,3016.6666666666665
ENST00000265018,329.1666666666667
ENST00000265022,1579.1666666666667
ENST00000265069,1658.35
ENST00000265080,1137.5166666666667
ENST00000265107,2120.8333333333335
ENST00000265261,1079.1833333333334
ENST00000265342,1108.3333333333333
ENST00000265381,3616.6666666666665
ENST00000265382,1162.5
ENST00000265563,1850.0166666666667
ENST00000265689,1304.1833333333334
ENST00000265769,1083.35
ENST00000265922,3116.6666666666665
ENST00000265997,3125
ENST00000267615,370.8333333333333
ENST00000267811,3116.6666666666665
ENST00000268184,2083.35
ENST00000268603,250
ENST00000269081,1683.35
ENST00000269445,1325
ENST00000271588,3666.6666666666665
ENST00000272321,3141.6666666666665
ENST00000272369,2279.1666666666665
ENST00000272771,679.1666666666666
ENST00000272793,2433.3333333333335
ENST00000273009,8.333333333333334
ENST00000273352,1383.35
ENST00000273353,2475
ENST00000273859,1904.1833333333334
ENST00000273980,1879.1666666666667
ENST00000274008,1175
ENST00000274276,1654.1833333333334
ENST00000274487,1112.5
ENST00000274498,4654.166666666667
ENST00000274547,983.3333333333334
ENST00000274695,3587.5
ENST00000275053,758.3333333333334
ENST00000276282,2000.0166666666667
ENST00000276297,4.166666666666667
ENST00000276659,2383.3333333333335
ENST00000280200,1887.5166666666667
ENST00000280663,308.3333333333333
ENST00000280871,2625
ENST00000280886,5883.333333333333
ENST00000280979,645.8333333333334
ENST00000281081,3712.5
ENST00000281092,975
ENST00000281156,7150
ENST00000281513,658.3333333333334
ENST00000281924,4166.666666666667
ENST00000281928,2779.1666666666665
ENST00000282111,841.6666666666666
ENST00000282185,2795.8333333333335
ENST00000282268,3025
ENST00000282272,5187.5
ENST00000282356,150
ENST00000282908,854.1666666666666
ENST00000283147,787.5
ENST00000283228,1187.5
ENST00000283365,6462.516666666666
ENST00000284073,3470.8333333333335
ENST00000284268,258.3333333333333
ENST00000284509,1983.3333333333333
ENST00000284719,670.8333333333334
ENST00000284776,1425
ENST00000286355,1841.6666666666667
ENST00000286448,1195.85
ENST00000286548,1683.3333333333333
ENST00000286574,1179.1833333333334
ENST00000286657,4129.166666666667
ENST00000286827,395.8333333333333
ENST00000287218,2208.3333333333335
ENST00000287437,2262.5
ENST00000287878,12.5
ENST00000288235,358.3333333333333
ENST00000288368,1570.8333333333333
ENST00000288670,2695.8333333333335
ENST00000289292,2141.6666666666665
ENST00000289672,2429.1666666666665
ENST00000292246,3162.5
ENST00000292672,1366.6833333333334
ENST00000294383,716.6666666666666
ENST00000294618,1208.35
ENST00000295095,3250
ENST00000295454,104.16666666666667
ENST00000295966,3470.8333333333335
ENST00000296220,1250.0166666666667
ENST00000296657,1720.85
ENST00000296721,8.333333333333334
ENST00000296733,1012.5166666666667
ENST00000296741,1716.6666666666667
ENST00000296755,1862.5166666666667
ENST00000296861,1408.35
ENST00000296955,1595.85
ENST00000297029,1650.0166666666667
ENST00000297145,2170.85
ENST00000297423,2979.1666666666665
ENST00000297450,904.1666666666666
ENST00000297784,3537.5
ENST00000297979,1262.5
ENST00000298119,383.3333333333333
ENST00000298310,1337.5166666666667
ENST00000298622,1287.5166666666667
ENST00000298738,1229.1833333333334
ENST00000299308,2304.1666666666665
ENST00000299345,4883.333333333333
ENST00000299687,2212.5
ENST00000299824,2116.6833333333334
ENST00000299954,20.833333333333332
ENST00000300105,537.5
ENST00000301180,1300
ENST00000301923,2191.6666666666665
ENST00000302085,1358.35
ENST00000302251,1245.85
ENST00000303635,158.33333333333334
ENST00000303694,1991.6666666666667
ENST00000304685,287.5
ENST00000305031,3354.1666666666665
ENST00000305108,1787.5166666666667
ENST00000305494,4175
ENST00000305747,4112.5
ENST00000305921,1262.5166666666667
ENST00000306052,1587.5166666666667
ENST00000306156,787.5
ENST00000306402,2337.5
ENST00000306764,1862.5
ENST00000307138,2004.1666666666667
ENST00000307363,1837.5166666666667
ENST00000307546,4445.833333333333
ENST00000307624,33.333333333333336
ENST00000307671,2695.8333333333335
ENST00000308191,1004.1666666666666
ENST00000308448,1270.85
ENST00000308660,62.5
ENST00000309447,162.5
ENST00000309765,1454.1833333333334
ENST00000309955,1170.85
ENST00000310193,3445.85
ENST00000310343,120.83333333333333
ENST00000310653,1583.35
ENST00000310758,1412.5
ENST00000310836,1458.35
ENST00000310864,1241.6833333333334
ENST00000310903,1541.6833333333334
ENST00000310961,841.6666666666666
ENST00000311350,1200.0166666666667
ENST00000312428,5362.5
ENST00000313070,3929.1833333333334
ENST00000313164,1237.5166666666667
