Ensembl Gene ID,K562 Elongation Rate (bp/min),K562 Expression (RPKM)
ENSG00000000457,975.0,0.511227346
ENSG00000000460,1425.0,1.321102746
ENSG00000000971,1300.0,0.813653255
ENSG00000001461,825.0,1.066398156
ENSG00000001629,1050.0,1.306127949
ENSG00000001631,1225.0,3.504421513
ENSG00000003147,1325.0,0.920713401
ENSG00000003393,1000.0,0.541175986
ENSG00000003400,1175.0,1.1289547359999998
ENSG00000004487,1975.0,1.643121205
ENSG00000004766,1325.0,0.638019354
ENSG00000004864,1400.0,1.191930923
ENSG00000004897,1350.0,4.0919216789999995
ENSG00000005175,1050.0,1.874595447
ENSG00000005187,1500.0,3.393864282
ENSG00000005249,1000.0,3.644509782
ENSG00000005339,1475.0,0.984809077
ENSG00000005436,1025.0,1.045126494
ENSG00000005483,1700.0,4.230750538000001
ENSG00000005700,775.0,1.211944076
ENSG00000005893,1425.0,1.149107447
ENSG00000006062,675.0,0.535298077
ENSG00000006125,1675.0,3.8880194739999996
ENSG00000006451,925.0,1.9413491280000001
ENSG00000006459,1375.0,1.234754686
ENSG00000006468,1850.0,2.557398231
ENSG00000006530,925.0,0.892443581
ENSG00000006576,1375.0,1.5844832
ENSG00000006837,750.0,0.578121885
ENSG00000007168,1375.0,1.084871358
ENSG00000007392,375.0,1.220480958
ENSG00000008083,1500.0,2.140074742
ENSG00000008256,1750.0,0.678324226
ENSG00000008294,1125.0,1.100686001
ENSG00000008405,1725.0,0.96045796
ENSG00000009307,1425.0,5.013753927
ENSG00000009335,725.0,2.0878740209999997
ENSG00000009413,1675.0,1.8628385969999999
ENSG00000009844,1125.0,1.01825625
ENSG00000009954,1525.0,2.767178779
ENSG00000010017,1725.0,3.268610205
ENSG00000010270,1450.0,0.863474385
ENSG00000010803,1025.0,1.72009214
ENSG00000011114,1550.0,0.813653112
ENSG00000011258,1225.0,1.777750736
ENSG00000011275,1150.0,0.563847213
ENSG00000011295,1050.0,1.010979259
ENSG00000011376,625.0,0.7201686509999999
ENSG00000011426,1375.0,2.149451295
ENSG00000011485,300.0,0.576582795
ENSG00000011566,1775.0,1.969618756
ENSG00000012174,1600.0,0.8893651229999999
ENSG00000012660,1700.0,2.333901504
ENSG00000012983,1150.0,0.658451838
ENSG00000014824,1250.0,1.043866864
ENSG00000015153,900.0,1.25616696
ENSG00000015171,1475.0,0.635220565
ENSG00000015479,475.0,3.418356179
ENSG00000015676,1225.0,0.856617292
ENSG00000017260,1462.5,0.7065935825
ENSG00000017797,1500.0,1.352730718
ENSG00000018189,1650.0,1.334677472
ENSG00000018510,1650.0,1.605895242
