HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Synonyms	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:20250	AJUBA	ajuba LIM protein	Approved	gene with protein product	JUB	MGC15563	14q11.2	84962	ENSG00000129474	OTTHUMG00000028711	1403	Ajuba family
HGNC:6612	LIMD1	LIM domains containing 1	Approved	gene with protein product			3p21.31	8994	ENSG00000144791	OTTHUMG00000133453	1403	Ajuba family
HGNC:20964	WTIP	WT1 interacting protein	Approved	gene with protein product			19q13.11	126374	ENSG00000142279	OTTHUMG00000182099	1403	Ajuba family
HGNC:4170	GATA1	GATA binding protein 1	Approved	gene with protein product	GF1	ERYF1, NFE1, GATA-1, NF-E1	Xp11.23	2623	ENSG00000102145	OTTHUMG00000021504	82	GATA zinc finger domain containing
HGNC:4171	GATA2	GATA binding protein 2	Approved	gene with protein product		NFE1B	3q21.3	2624	ENSG00000179348	OTTHUMG00000159689	82	GATA zinc finger domain containing
HGNC:4172	GATA3	GATA binding protein 3	Approved	gene with protein product		HDR	10p14	2625	ENSG00000107485	OTTHUMG00000017640	82	GATA zinc finger domain containing
HGNC:4173	GATA4	GATA binding protein 4	Approved	gene with protein product			8p23.1	2626	ENSG00000136574	OTTHUMG00000090800	82	GATA zinc finger domain containing
HGNC:15802	GATA5	GATA binding protein 5	Approved	gene with protein product		bB379O24.1, GATAS	20q13.33	140628	ENSG00000130700	OTTHUMG00000032919	82	GATA zinc finger domain containing
HGNC:4174	GATA6	GATA binding protein 6	Approved	gene with protein product			18q11.2	2627	ENSG00000141448	OTTHUMG00000131767	82	GATA zinc finger domain containing
HGNC:29941	GATAD1	GATA zinc finger domain containing 1	Approved	gene with protein product		ODAG, RG083M05.2, FLJ22489	7q21.2	57798	ENSG00000157259	OTTHUMG00000131201	82	GATA zinc finger domain containing
HGNC:29989	GATAD2A	GATA zinc finger domain containing 2A	Approved	gene with protein product		p66alpha	19p13.11	54815	ENSG00000167491	OTTHUMG00000152541	82	GATA zinc finger domain containing
HGNC:30778	GATAD2B	GATA zinc finger domain containing 2B	Approved	gene with protein product		P66beta	1q21.3	57459	ENSG00000143614	OTTHUMG00000037162	82	GATA zinc finger domain containing
HGNC:37245	ZGLP1	zinc finger GATA like protein 1	Approved	gene with protein product		GLP1, GLP-1, GATAD3	19p13.2	100125288	ENSG00000220201	OTTHUMG00000152114	82	GATA zinc finger domain containing
HGNC:7410	MTA1	metastasis associated 1	Approved	gene with protein product			14q32.33	9112	ENSG00000182979	OTTHUMG00000150362	82	GATA zinc finger domain containing
HGNC:7411	MTA2	metastasis associated 1 family member 2	Approved	gene with protein product	MTA1L1	MTA1-L1	11q12.3	9219	ENSG00000149480	OTTHUMG00000167684	82	GATA zinc finger domain containing
HGNC:23784	MTA3	metastasis associated 1 family member 3	Approved	gene with protein product		KIAA1266	2p21	57504	ENSG00000057935	OTTHUMG00000150452	82	GATA zinc finger domain containing
HGNC:9965	RERE	arginine-glutamic acid dipeptide repeats	Approved	gene with protein product	ATN1L	KIAA0458, ARP, ARG, DNB1	1p36.23	473	ENSG00000142599	OTTHUMG00000001765	82	GATA zinc finger domain containing
HGNC:12340	TRPS1	transcriptional repressor GATA binding 1	Approved	gene with protein product		LGCR, GC79	8q23.3	7227	ENSG00000104447	OTTHUMG00000142829	82	GATA zinc finger domain containing
HGNC:6132	ISL1	ISL LIM homeobox 1	Approved	gene with protein product		Isl-1, ISLET1	5q11.1	3670	ENSG00000016082	OTTHUMG00000162281	522	LIM class homeoboxes
HGNC:18524	ISL2	ISL LIM homeobox 2	Approved	gene with protein product		FLJ10160	15q24.3	64843	ENSG00000159556	OTTHUMG00000143723	522	LIM class homeoboxes
HGNC:6593	LHX1	LIM homeobox 1	Approved	gene with protein product		LIM-1, LIM1	17q12	3975	ENSG00000273706	OTTHUMG00000188456	522	LIM class homeoboxes
HGNC:6594	LHX2	LIM homeobox 2	Approved	gene with protein product		LH-2, hLhx2	9q33.3	9355	ENSG00000106689	OTTHUMG00000020647	522	LIM class homeoboxes
HGNC:6595	LHX3	LIM homeobox 3	Approved	gene with protein product			9q34.3	8022	ENSG00000107187	OTTHUMG00000020924	522	LIM class homeoboxes
HGNC:21734	LHX4	LIM homeobox 4	Approved	gene with protein product		Gsh4	1q25.2	89884	ENSG00000121454	OTTHUMG00000035115	522	LIM class homeoboxes
HGNC:14216	LHX5	LIM homeobox 5	Approved	gene with protein product			12q24.13	64211	ENSG00000089116	OTTHUMG00000169552	522	LIM class homeoboxes
HGNC:21735	LHX6	LIM homeobox 6	Approved	gene with protein product		LHX6.1	9q33.2	26468	ENSG00000106852	OTTHUMG00000020601	522	LIM class homeoboxes
HGNC:28838	LHX8	LIM homeobox 8	Approved	gene with protein product		Lhx7	1p31.1	431707	ENSG00000162624	OTTHUMG00000009692	522	LIM class homeoboxes
HGNC:14222	LHX9	LIM homeobox 9	Approved	gene with protein product			1q31.3	56956	ENSG00000143355	OTTHUMG00000035656	522	LIM class homeoboxes
HGNC:6653	LMX1A	LIM homeobox transcription factor 1 alpha	Approved	gene with protein product	LMX1	LMX1.1	1q23.3	4009	ENSG00000162761	OTTHUMG00000034575	522	LIM class homeoboxes
HGNC:6654	LMX1B	LIM homeobox transcription factor 1 beta	Approved	gene with protein product	NPS1		9q33.3	4010	ENSG00000136944	OTTHUMG00000020692	522	LIM class homeoboxes
HGNC:78	ABLIM1	actin binding LIM protein 1	Approved	gene with protein product	LIMAB1, ABLIM	abLIM, limatin	10q25.3	3983	ENSG00000099204	OTTHUMG00000019088	1218	LIM domain containing
HGNC:19195	ABLIM2	actin binding LIM protein family member 2	Approved	gene with protein product		KIAA1808	4p16.1	84448	ENSG00000163995	OTTHUMG00000057427	1218	LIM domain containing
HGNC:29132	ABLIM3	actin binding LIM protein family member 3	Approved	gene with protein product		KIAA0843	5q32	22885	ENSG00000173210	OTTHUMG00000129932	1218	LIM domain containing
HGNC:2360	CRIP1	cysteine rich protein 1	Approved	gene with protein product		CRIP	14q32.33	1396	ENSG00000213145	OTTHUMG00000029908	1218	LIM domain containing
HGNC:2361	CRIP2	cysteine rich protein 2	Approved	gene with protein product		CRP2, ESP1	14q32.33	1397	ENSG00000182809	OTTHUMG00000029906	1218	LIM domain containing
HGNC:17751	CRIP3	cysteine rich protein 3	Approved	gene with protein product		TLP-A, bA480N24.2, TLP	6p21.1	401262	ENSG00000146215	OTTHUMG00000014727	1218	LIM domain containing
HGNC:2469	CSRP1	cysteine and glycine rich protein 1	Approved	gene with protein product	CYRP	CSRP, D1S181E	1q32.1	1465	ENSG00000159176	OTTHUMG00000035773	1218	LIM domain containing
HGNC:2470	CSRP2	cysteine and glycine rich protein 2	Approved	gene with protein product		SmLIM, CRP2, LMO5	12q21.2	1466	ENSG00000175183	OTTHUMG00000169919	1218	LIM domain containing
HGNC:2472	CSRP3	cysteine and glycine rich protein 3	Approved	gene with protein product		CLP, MLP, CMD1M	11p15.1	8048	ENSG00000129170	OTTHUMG00000166100	1218	LIM domain containing
HGNC:24686	FBLIM1	filamin binding LIM protein 1	Approved	gene with protein product		FBLP-1, CAL, migfilin	1p36.21	54751	ENSG00000162458	OTTHUMG00000003079	1218	LIM domain containing
HGNC:3702	FHL1	four and a half LIM domains 1	Approved	gene with protein product		SLIM1, KYO-T, bA535K18.1, FHL1B, XMPMA, FLH1A, MGC111107	Xq26.3	2273	ENSG00000022267	OTTHUMG00000022504	1218	LIM domain containing
HGNC:3703	FHL2	four and a half LIM domains 2	Approved	gene with protein product		SLIM3, DRAL	2q12.2	2274	ENSG00000115641	OTTHUMG00000153120	1218	LIM domain containing
HGNC:3704	FHL3	four and a half LIM domains 3	Approved	gene with protein product		SLIM2	1p34.3	2275	ENSG00000183386	OTTHUMG00000004434	1218	LIM domain containing
HGNC:17371	FHL5	four and a half LIM domains 5	Approved	gene with protein product		FLJ33049, ACT, dJ393D12.2	6q16.1	9457	ENSG00000112214	OTTHUMG00000015239	1218	LIM domain containing
HGNC:6513	LASP1	LIM and SH3 protein 1	Approved	gene with protein product		MLN50, Lasp-1	17q12	3927	ENSG00000002834	OTTHUMG00000133182	1218	LIM domain containing
HGNC:15710	LDB3	LIM domain binding 3	Approved	gene with protein product	CMD1C	PDLIM6, KIAA0613, ZASP	10q23.2	11155	ENSG00000122367	OTTHUMG00000018655	1218	LIM domain containing
HGNC:24636	LIMA1	LIM domain and actin binding 1	Approved	gene with protein product		EPLIN	12q13.12	51474	ENSG00000050405	OTTHUMG00000169852	1218	LIM domain containing
HGNC:29191	LIMCH1	LIM and calponin homology domains 1	Approved	gene with protein product		DKFZP686A01247, LIMCH1A, LMO7B	4p13	22998	ENSG00000064042	OTTHUMG00000160575	1218	LIM domain containing
HGNC:28142	LIMD2	LIM domain containing 2	Approved	gene with protein product		MGC10986	17q23.3	80774	ENSG00000136490	OTTHUMG00000178907	1218	LIM domain containing
HGNC:6613	LIMK1	LIM domain kinase 1	Approved	gene with protein product		LIMK	7q11.23	3984	ENSG00000106683	OTTHUMG00000023448	1218	LIM domain containing
HGNC:6614	LIMK2	LIM domain kinase 2	Approved	gene with protein product			22q12.2	3985	ENSG00000182541	OTTHUMG00000151251	1218	LIM domain containing
HGNC:6616	LIMS1	LIM zinc finger domain containing 1	Approved	gene with protein product		PINCH, PINCH1	2q12.3	3987	ENSG00000169756	OTTHUMG00000130983	1218	LIM domain containing
HGNC:30047	LIMS3	LIM zinc finger domain containing 3	Approved	gene with protein product			2q13	96626	ENSG00000256977	OTTHUMG00000191772	1218	LIM domain containing
HGNC:6633	LMCD1	LIM and cysteine rich domains 1	Approved	gene with protein product			3p25.3	29995	ENSG00000071282	OTTHUMG00000154971	1218	LIM domain containing
HGNC:6641	LMO1	LIM domain only 1	Approved	gene with protein product	RBTN1	TTG1, RHOM1	11p15.4	4004	ENSG00000166407	OTTHUMG00000165833	1218	LIM domain containing
HGNC:6642	LMO2	LIM domain only 2	Approved	gene with protein product	RBTNL1	TTG2, RHOM2, RBTN2	11p13	4005	ENSG00000135363	OTTHUMG00000157176	1218	LIM domain containing
HGNC:6643	LMO3	LIM domain only 3	Approved	gene with protein product	RBTNL2	Rhom-3, DAT1	12p12.3	55885	ENSG00000048540	OTTHUMG00000168837	1218	LIM domain containing
HGNC:6644	LMO4	LIM domain only 4	Approved	gene with protein product			1p22.3	8543	ENSG00000143013	OTTHUMG00000010248	1218	LIM domain containing
HGNC:6646	LMO7	LIM domain 7	Approved	gene with protein product	FBXO20	FBX20, KIAA0858	13q22.2	4008	ENSG00000136153	OTTHUMG00000017093	1218	LIM domain containing
HGNC:14061	LPXN	leupaxin	Approved	gene with protein product		LDPL	11q12.1	9404	ENSG00000110031	OTTHUMG00000167466	1218	LIM domain containing
HGNC:20619	MICAL1	microtubule associated monooxygenase, calponin and LIM domain containing 1	Approved	gene with protein product	NICAL	MICAL, FLJ11937, DKFZp434B1517, FLJ21739	6q21	64780	ENSG00000135596	OTTHUMG00000015350	1218	LIM domain containing
HGNC:24693	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2	Approved	gene with protein product		KIAA0750	11p15.3	9645	ENSG00000133816	OTTHUMG00000165744	1218	LIM domain containing
HGNC:24694	MICAL3	microtubule associated monooxygenase, calponin and LIM domain containing 3	Approved	gene with protein product		KIAA0819	22q11.21	57553	ENSG00000243156	OTTHUMG00000150067	1218	LIM domain containing
HGNC:29804	MICALL1	MICAL like 1	Approved	gene with protein product		MIRAB13, KIAA1668, MICAL-L1	22q13.1	85377	ENSG00000100139	OTTHUMG00000150670	1218	LIM domain containing
HGNC:29672	MICALL2	MICAL like 2	Approved	gene with protein product		MGC46023, FLJ23471, MICAL-L2, JRAB	7p22.3	79778	ENSG00000164877	OTTHUMG00000119021	1218	LIM domain containing
