V1	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me2	H3K4me3	H3K79me2	H3K9ac	H3K9me1	H3K9me3	H4K20me1
ENST00000397841	0.401315987274139	0.244499341255835	-0.0382387729849474	0.976594067130955	0.95596402149331	1.31246500528237	0.304422658804186	2.62802254066909	0.386557422348758	0.0850266730915191	0.240434961920893
ENST00000411453	-0.614226927982696	0.0665615826604027	-0.222578758088334	0.117117492146321	-0.761436663057718	-0.586805268337795	-0.336420399549397	-0.534418324562209	-0.184149289116858	-0.0382639995466495	-0.357559383593694
ENST00000415611	0.756905861728811	-0.494596248455705	-0.272694001186783	0.412896139064754	0.13618112422433	1.14242949948083	0.175425249144882	1.81032155670477	-0.558183567231705	-0.276030146265092	-0.182091095618228
ENST00000416894	-0.39475412624112	-0.380858750199827	-0.474234378816546	0.742590535617038	0.0590199287621173	0.201884240032523	-0.215777260017056	0.0956425815262165	-0.448448191885504	-0.197458877286098	-0.268238280654499
ENST00000419745	-0.546823692219433	0.113721033156742	0.010194280135372	2.33731211159267	-0.468210218667719	-0.540751396210273	-0.291618395071983	-0.158068525744258	0.0823565380616961	-0.00934338541797963	0.0564746802673798
ENST00000420694	-0.602119113791854	-0.482311013452456	-0.404816005719058	-0.392754324335798	-0.511134185765052	-0.311284249733864	-0.399278845849544	-0.418320911765504	-0.802679264357879	-0.239750226787344	-0.440842989366437
ENST00000424345	-0.556786999435478	4.02082206209297	0.770011456756949	0.309180565407663	-0.421317156954634	-0.554434232114696	-0.227981463376485	-0.534459464680138	3.18566664735394	1.59931528886995	1.42867929326693
ENST00000426037	0.462370337327341	-0.0622352359220372	-0.0834476286471847	-0.0168800008267078	0.588631176509261	2.07090765013812	0.17803776454369	2.32399706917098	-0.527503376997546	-0.171853942529763	-0.29061087529467
ENST00000426367	1.60137985002633	-0.433962669246125	-0.404816005719058	-0.559229175775172	0.321924771581491	1.12734561349206	0.113494866219979	1.3626759335152	-0.524547674662848	-0.180739587533246	-0.494658530698248
ENST00000430266	-0.599384649587775	-0.333699299703487	-0.0139872008002434	-0.580502224094619	-0.77498184450348	-0.594465848637712	-0.340979128436582	-0.655534831746298	-0.0217827075308109	-0.130933950502628	0.156347296946076
ENST00000433357	-0.620916843821077	-0.361836450839959	-0.452127598853957	-0.605560512328558	-0.78295746121003	-0.596838594748305	-0.38805029885896	-0.694535663543349	0.0798934527827816	-0.101125711159551	-0.336809013659462
ENST00000434938	-0.618303109260965	-0.253647123230709	0.264275058082054	-0.450819904624111	-0.778457252900747	-0.581856397878557	-0.366237410041195	-0.589628362823434	-0.383659196708936	-0.156365117359846	-0.314873714374805
