ensembl_gene_id,biotype
ENSG00000000003,protein_coding
ENSG00000000005,protein_coding
ENSG00000000419,protein_coding
ENSG00000000457,protein_coding
ENSG00000000460,protein_coding
ENSG00000000938,protein_coding
ENSG00000000971,protein_coding
ENSG00000001036,protein_coding
ENSG00000001084,protein_coding
ENSG00000001167,protein_coding
ENSG00000001460,protein_coding
ENSG00000001461,protein_coding
ENSG00000001497,protein_coding
ENSG00000001561,protein_coding
ENSG00000001617,protein_coding
ENSG00000001626,protein_coding
ENSG00000001629,protein_coding
ENSG00000001630,protein_coding
ENSG00000001631,protein_coding
ENSG00000002016,protein_coding
ENSG00000002079,pseudogene
ENSG00000002330,protein_coding
ENSG00000002549,protein_coding
ENSG00000002586,protein_coding
ENSG00000002587,protein_coding
ENSG00000002726,protein_coding
ENSG00000002745,protein_coding
ENSG00000002746,protein_coding
ENSG00000002822,protein_coding
ENSG00000002834,protein_coding
ENSG00000002919,protein_coding
ENSG00000002933,protein_coding
ENSG00000003056,protein_coding
ENSG00000003096,protein_coding
ENSG00000003137,protein_coding
ENSG00000003147,protein_coding
ENSG00000003249,protein_coding
ENSG00000003393,protein_coding
ENSG00000003400,protein_coding
ENSG00000003402,protein_coding
ENSG00000003436,protein_coding
ENSG00000003509,protein_coding
ENSG00000003756,protein_coding
ENSG00000003987,protein_coding
ENSG00000003989,protein_coding
ENSG00000004059,protein_coding
ENSG00000004139,protein_coding
ENSG00000004142,protein_coding
ENSG00000004399,protein_coding
ENSG00000004455,protein_coding
ENSG00000004468,protein_coding
ENSG00000004478,protein_coding
ENSG00000004487,protein_coding
ENSG00000004534,protein_coding
ENSG00000004660,protein_coding
ENSG00000004700,protein_coding
ENSG00000004766,protein_coding
ENSG00000004776,protein_coding
ENSG00000004777,protein_coding
ENSG00000004779,protein_coding
ENSG00000004799,protein_coding
ENSG00000004809,protein_coding
ENSG00000004838,protein_coding
ENSG00000004846,protein_coding
ENSG00000004848,protein_coding
ENSG00000004864,protein_coding
ENSG00000004866,protein_coding
ENSG00000004897,protein_coding
ENSG00000004939,protein_coding
ENSG00000004948,protein_coding
ENSG00000004961,protein_coding
ENSG00000004975,protein_coding
ENSG00000005001,protein_coding
ENSG00000005007,protein_coding
ENSG00000005020,protein_coding
ENSG00000005022,protein_coding
ENSG00000005059,protein_coding
ENSG00000005073,protein_coding
ENSG00000005075,protein_coding
ENSG00000005100,protein_coding
ENSG00000005102,protein_coding
ENSG00000005108,protein_coding
ENSG00000005156,protein_coding
ENSG00000005175,protein_coding
ENSG00000005187,protein_coding
ENSG00000005189,protein_coding
ENSG00000005194,protein_coding
ENSG00000005206,protein_coding
ENSG00000005238,protein_coding
ENSG00000005243,protein_coding
ENSG00000005249,protein_coding
ENSG00000005302,protein_coding
ENSG00000005339,protein_coding
ENSG00000005379,protein_coding
ENSG00000005381,protein_coding
ENSG00000005421,protein_coding
ENSG00000005436,protein_coding
ENSG00000005448,protein_coding
ENSG00000005469,protein_coding
ENSG00000005471,protein_coding
ENSG00000005483,protein_coding
ENSG00000005486,protein_coding
ENSG00000005513,protein_coding
ENSG00000005700,protein_coding
ENSG00000005801,protein_coding
ENSG00000005810,protein_coding
ENSG00000005812,protein_coding
ENSG00000005844,protein_coding
ENSG00000005882,protein_coding
ENSG00000005884,protein_coding
ENSG00000005889,protein_coding
ENSG00000005893,protein_coding
ENSG00000005961,protein_coding
ENSG00000005981,protein_coding
ENSG00000006007,protein_coding
ENSG00000006015,protein_coding
ENSG00000006016,protein_coding
