ensembl_transcript_id,K562_AB_1_PROseq,K562_AB_2_PROseq,total_RNA_1_RNAseq_ex,total_RNA_2_RNAseq_ex,total_RNA_3_RNAseq_ex,total_RNA_4_RNAseq_ex
ENST00000000442,7.0418831225996525,6.798066268787693,7.213709529291629,7.3045711660734485,7.334460512881162,7.151473877054728
ENST00000001008,6.254348504169909,6.311563003574996,7.438465376899382,7.3832013372563505,7.39594936783241,7.415835605171888
ENST00000002125,4.5372046501581655,4.950613954328911,4.951098139159704,5.216258209757611,4.9003235288684746,5.1118356317865965
ENST00000002165,6.773500259020773,6.703396821011022,7.458919695561741,7.405278620896241,7.434486966109576,7.459107352621604
ENST00000002501,4.728784213606326,4.854385687991663,1.0168869375516738,1.0226380816246818,0.8257291717343216,0.891364284004235
ENST00000003302,4.748004449966521,4.716024768561036,3.956957120339763,4.073506535143685,4.016057345968586,4.1221715275935695
ENST00000005257,4.665627980106093,4.700605205925147,4.796619698988514,4.8135941284109824,4.86233754612618,4.877931975896498
ENST00000005260,4.1789881339505675,4.282640366990347,2.4944344712923296,1.9495746194349586,1.8636970219333424,1.6256557438721155
ENST00000005340,6.764832138384558,6.840216694006685,5.042275578025259,4.755204696064743,4.968712624799401,4.91705496468428
ENST00000005374,1.0435615226638153,1.599150837793968,7.061404401076482,7.304029035228355,6.923638800419777,7.068392629807293
ENST00000005386,5.625488925602795,5.842081559311555,5.931346349631471,6.056855298708454,6.10588635310586,6.066702937295274
ENST00000006275,5.122497950185173,5.071429693494851,5.5836553850199735,5.478929992731412,5.380424786902046,5.557873902501311
ENST00000007264,5.434880056639333,5.9557039536088094,5.922641693110476,5.73857326769502,6.013315153528381,5.855552832201845
ENST00000007390,4.3524696736842845,4.612603105288266,6.99107757712835,6.869609982778868,6.8431045008120375,6.888184393899797
ENST00000007516,6.9182015592318775,6.949582404719971,9.670602763259689,9.65009516878881,9.72096481580407,9.673672826922443
ENST00000008527,4.594244203319009,4.629287746223777,5.223600240104295,5.197184340439611,5.228921110838124,5.263374567859758
ENST00000009041,4.5321894495601,4.581767605363919,6.21301892468279,6.105341557880611,6.145627048888786,6.1123471350860115
ENST00000009530,0.6674962541328369,-1.683805026345529,-0.1837948461278458,-1.134974980162952,-2.068849484219518,-2.2662487777833986
ENST00000011473,6.279464894609577,6.076062309243524,6.460643311184764,6.4400026305875535,6.520719351195219,6.312390497473079
ENST00000011619,6.935268117896157,7.0173261652007115,6.240604756354689,6.275286740404105,6.237672808722594,6.16389480723394
ENST00000012049,6.089952320278454,6.239803696867525,4.3157035281331755,4.336839835412356,4.240412318569829,4.2173432055682625
ENST00000013070,4.571882905374391,4.162921056508834,5.02592429718732,5.081003153623897,5.063150256927977,5.104306393112326
ENST00000013125,5.0627814459032665,5.138801259212002,4.3224040656087945,4.458686772824028,4.379863932856362,4.414875816453921
ENST00000014914,0.18629050339481176,-0.2581201814750352,-4.894783895224356,-3.3865324106221655,-4.320406914678732,-4.517806208242613
ENST00000014930,3.729731306624271,3.7652092653832354,0.5797882102108369,0.8656472734765799,-0.6531897313011423,2.0563015707434955
ENST00000019317,5.551568276545481,5.509239435850565,6.043216341148136,6.178234763302745,6.204207448286075,6.186603400188568
ENST00000022615,5.614763239918903,5.618556918263099,8.855952467611704,8.950675074886691,8.90836281187001,8.979319851689722
ENST00000025008,5.733319958782351,5.717192727366439,5.702083194413493,5.803084407945113,5.767486274968705,5.849935353049699
ENST00000025301,5.205435935586777,5.218960708433488,4.0850920181811965,4.228346686004139,4.252893078196173,4.20496361133182
ENST00000029410,5.136826984559934,5.039549734467127,4.752858856122978,4.562618894373599,4.995526720988655,4.675270679639241
ENST00000033079,6.2931360172124915,6.309589256416051,4.89044345502525,5.022530832467204,4.830568527853248,5.0844975542276645
ENST00000037243,5.682540054206705,5.730645621293419,7.349749664199665,7.26853725584576,7.1290786181392996,7.292081567277417
ENST00000037869,7.048138902658491,7.285758136469965,7.420494856510997,7.399126874235807,7.471885462511688,7.453208118627279
ENST00000038176,6.349025913247656,6.285164351271362,5.937307865088574,6.087871491685803,5.998275605938076,5.906294858284543
ENST00000039989,5.455947247293831,5.295846947973164,5.5074914876840895,5.5482740345835655,5.4837305787608255,5.592823646714514
ENST00000040663,5.584443937452838,5.9247163483266645,4.817040616894391,4.96840416825542,4.816384213962591,4.883996975672947
ENST00000040738,5.710103393034811,5.796207424863743,3.8150410905111656,3.801729642572642,3.567587826483307,3.715685098945193
ENST00000040877,4.982101223739169,5.122218558322056,4.853066056199178,4.899114933443845,4.869513494720663,4.840097224864908
ENST00000044462,6.720113721002161,6.624288886081321,7.809601746978592,7.902452195688981,7.918765121243483,7.937219965023618
ENST00000046640,4.006576071889962,3.846618776488815,2.420471555284434,2.579388787658611,2.3982042300612676,2.3351060282089775
ENST00000046794,7.160676550133518,7.129075263650398,3.6318946816088777,3.6664669990236574,3.638222544369693,3.509770604523304
ENST00000052754,1.2809909500898937,0.9561618809727195,-2.205827632854391,-4.867501149694512,-1.6314506523087657,-4.413812446593802
ENST00000053468,6.448162399510558,6.618295205911585,7.2345966475532135,7.317993774516354,7.269020862295249,7.357991404045737
ENST00000053867,3.5881969835873715,2.2693171808013832,5.505485221353856,5.277181026564836,5.446117328092045,5.342900473584873
ENST00000054666,6.043489974299941,5.987149741108669,5.366135638438548,5.389225229310024,5.4024711656505096,5.424162930332826
ENST00000054950,0.9106930612018069,0.3958930484405617,2.048687966533855,2.3005996978762604,1.5891176151561424,2.086863740063841
ENST00000056217,-2.703421513454185,-1.7327946990451883,-4.469388473666071,-2.96113698906388,-2.3100489923992895,-4.092410786684327
ENST00000056233,4.630624829326593,4.3356615329980395,4.286846728633909,4.376251975072958,4.457552464850635,4.4017677767056895
ENST00000064778,3.6264245575193157,3.646991626664066,2.23714919771847,2.201368445654387,2.152016724177885,2.0801483126978635
ENST00000064780,5.182670424697131,5.396568390118491,4.285019903954092,4.147844246571232,4.106190649326299,4.10370304067676
ENST00000066544,6.86439060862126,6.883143801428509,5.968317210208411,5.98165579873187,5.9949054107238275,6.027030016393378
ENST00000072644,4.812657937349095,4.975929829700487,4.175865367684056,4.2037432528422904,4.834511265127285,4.304915541222215
ENST00000075120,8.526686464885325,8.546618001295684,6.895373864841115,6.976609403690438,6.96221331661075,6.905857904502053
ENST00000078429,4.16402614634624,4.274056017420653,4.597843710078436,4.434109631722106,4.569556188169447,4.475250387569669
ENST00000078527,6.390006442251609,5.927333550989033,3.8083433388828625,3.6767703877293787,3.9165439711578425,3.763088025181559
ENST00000080059,6.927613640696334,7.027523472050297,5.495428439318606,5.455806741934861,5.4448448512111565,5.356221903564607
ENST00000081029,5.593222200786352,5.598435826727399,7.893157255419364,7.872018813276245,8.001518715240968,7.86410152650532
