covariate,coefficient,pvalue,0,1,Study
gc_3utr,0.040507454205202575,0.1777837934458247,-0.018414205016293296,0.09942911342669844,Schofield_et_al
gc_5utr,0.07843355021947843,4.4135497198362604e-05,0.040829537146895516,0.11603756329206133,Schofield_et_al
gc_cds,-0.1739734557210061,1.936814521121173e-07,-0.23938274719726219,-0.10856416424474999,Schofield_et_al
gc_intron,0.10515449229283405,0.002795869610597428,0.036232127979429804,0.17407685660623828,Schofield_et_al
len_3utr,0.13724385677691525,1.1096883413902474e-09,0.09318822713035295,0.18129948642347754,Schofield_et_al
len_5utr,-0.03615728013159056,0.049724690146848,-0.07227104047076818,-4.351979241293269e-05,Schofield_et_al
len_cds,-0.1467114609317749,3.9720622542438904e-14,-0.18460792990735247,-0.10881499195619732,Schofield_et_al
len_intron,-0.07486279521308778,0.00026222185505615287,-0.11503779814475873,-0.03468779228141683,Schofield_et_al
exonJunDen,0.5409637803568652,8.533651560666036e-117,0.4963488343225157,0.5855787263912147,Schofield_et_al
gc_3utr,0.05060518483187072,0.07621332934152095,-0.005335914813276395,0.10654628447701783,Mele_et_al
gc_5utr,0.02947854216321194,0.10556685968687923,-0.0062232671569053336,0.06518035148332921,Mele_et_al
gc_cds,-0.12696932983652665,6.22344670717481e-05,-0.18906988403912808,-0.06486877563392521,Mele_et_al
gc_intron,0.1728642954884726,2.339288867634527e-07,0.10742837768205962,0.23830021329488557,Mele_et_al
len_3utr,0.11450633695445402,8.456741181974475e-08,0.07267926689990047,0.15633340700900755,Mele_et_al
len_5utr,-0.0638648960513906,0.0002637387341970655,-0.09815183726091223,-0.029577954841868974,Mele_et_al
len_cds,-0.26476633476338823,5.169519952103428e-46,-0.300745806067696,-0.22878686345908045,Mele_et_al
len_intron,-0.029332318969026955,0.13171030841028872,-0.06747506430137107,0.008810426363317154,Mele_et_al
exonJunDen,0.5093441016987711,5.075171513473729e-115,0.466986008346575,0.5517021950509672,Mele_et_al
gc_3utr,0.020280612053486566,0.41380609688036196,-0.028369224249827484,0.06893044835680062,Wachutka_et_al
gc_5utr,0.10153012685149171,1.6158757425673628e-10,0.07048162780207212,0.1325786259009113,Wachutka_et_al
gc_cds,-0.029086197623248378,0.2910782605713781,-0.08309267614201177,0.02492028089551502,Wachutka_et_al
gc_intron,0.03000766281786671,0.3012807514008041,-0.026899453950176073,0.08691477958590949,Wachutka_et_al
len_3utr,0.06918809497033448,0.00019487278417509548,0.03281269076646298,0.10556349917420599,Wachutka_et_al
len_5utr,0.003510405847608991,0.817471989880872,-0.026307636482012675,0.03332844817723066,Wachutka_et_al
len_cds,-0.14747533797070503,3.924159884354921e-20,-0.17876530903558746,-0.1161853669058226,Wachutka_et_al
len_intron,-0.0966162446559984,1.2104941393347254e-08,-0.1297875324631467,-0.0634449568488501,Wachutka_et_al
exonJunDen,0.2650137124555961,4.203562538360219e-44,0.22817649758537317,0.301850927325819,Wachutka_et_al
gc_3utr,-0.15520879143672672,1.154056329493645e-06,-0.21767962511806713,-0.09273795775538632,Blumberg_et_al
gc_5utr,-0.033123956554519274,0.10341968967706312,-0.0729930654263084,0.0067451523172698535,Blumberg_et_al
gc_cds,-0.40604824233254344,5.0397701229741085e-30,-0.4753974939153432,-0.3366989907497437,Blumberg_et_al
gc_intron,0.14240222435992142,0.00013516876361281539,0.06932828830931137,0.21547616041053147,Blumberg_et_al
len_3utr,-0.29308395551574934,3.756398470318544e-34,-0.33979329718637674,-0.24637461384512196,Blumberg_et_al
len_5utr,-0.08038134446890978,3.936544507688326e-05,-0.11867043451770962,-0.04209225442010994,Blumberg_et_al
len_cds,-0.3940711834385081,8.236547663813765e-79,-0.4342503644351576,-0.35389200244185864,Blumberg_et_al
len_intron,0.03961465068786688,0.06832030714207886,-0.0029803128527416747,0.08220961422847545,Blumberg_et_al
exonJunDen,0.4100294073938575,1.49771763191659e-62,0.36272705864402766,0.4573317561436874,Blumberg_et_al
