V1,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me2,H3K4me3,H3K79me2,H3K9ac,H3K9me1,H3K9me3,H4K20me1,K562_AB_1_PROseq,K562_AB_2_PROseq,total_RNA_1_RNAseq_ex,total_RNA_2_RNAseq_ex,total_RNA_3_RNAseq_ex,total_RNA_4_RNAseq_ex
ENST00000000442,2.21412468804894,0.218636019784856,1.5076590895268,1.04625074028042,2.65958116325842,3.4041043381539,2.42421613499635,4.71805720630855,1.06885191745109,0.944242550321642,1.01810904121507,7.0418831225996525,6.798066268787693,7.213709529291629,7.3045711660734485,7.334460512881162,7.151473877054728
ENST00000001008,0.0240149642365357,-0.407190519357837,1.10192171684179,0.0707460201432927,1.13505308433503,2.59774050872403,1.17664435621211,1.52781873609433,0.328130959226785,-0.329023477632565,1.85323304910759,6.254348504169909,6.311563003574996,7.438465376899382,7.3832013372563505,7.39594936783241,7.415835605171888
ENST00000002125,-0.247637719813864,-0.375455585802619,0.190988560607601,-0.027029318492496,-0.014034420471292,-0.2910141762,0.263185067764088,0.0380568634379562,2.26109207481166,-0.211954140138817,0.151550531067657,4.5372046501581655,4.950613954328911,4.951098139159704,5.216258209757611,4.9003235288684746,5.1118356317865965
ENST00000002165,-0.192018641038263,-0.517068461344722,0.0929104660919352,-0.151455516040936,0.160884200289978,0.477381640745108,0.520453534742381,0.207198537552694,0.0606671386621944,-0.771908147022529,-0.649273301265978,6.773500259020773,6.703396821011022,7.458919695561741,7.405278620896241,7.434486966109576,7.459107352621604
ENST00000002501,-0.452679942813332,-0.146145098177815,-0.401034793794847,0.727939544142448,-0.57154110339671,-0.343867587102492,-0.499794851988732,0.0153341590536437,0.217500881411508,-0.173598981425299,0.526057112182695,4.728784213606326,4.854385687991663,1.0168869375516738,1.0226380816246818,0.8257291717343216,0.891364284004235
ENST00000003302,-0.399321777949455,-0.230430351813718,-0.1814132268391,0.112054851457902,-0.671935458007434,-0.389324873885036,-0.542653530314091,-0.464180660477684,-0.312308642238675,-0.481066457806313,-0.647954739929782,4.748004449966521,4.716024768561036,3.956957120339763,4.073506535143685,4.016057345968586,4.1221715275935695
ENST00000005257,0.200405024919363,-0.529352951753194,0.130405908818861,-0.360248338834737,0.693216452208758,-0.181767647637359,0.190147227160983,-0.103320734580194,-0.126284756944303,0.101117885964418,1.19520061907498,4.665627980106093,4.700605205925147,4.796619698988514,4.8135941284109824,4.86233754612618,4.877931975896498
ENST00000005260,0.441144632741397,0.588876911262403,0.337264276661812,-0.383484556449204,0.578221136834471,0.18051202399107,-0.0551245863230579,0.104982899502362,0.202005921351463,0.0580974875379905,0.0595852730725033,4.1789881339505675,4.282640366990347,2.4944344712923296,1.9495746194349586,1.8636970219333424,1.6256557438721155
ENST00000005340,0.184471249040173,-0.383986481919613,-0.428017142141455,-0.228326587217114,0.450486921248951,0.788894465454507,0.369899154630328,0.300427382550709,-0.460902778277293,-0.557933326901567,-0.110139942122529,6.764832138384558,6.840216694006685,5.042275578025259,4.755204696064743,4.968712624799401,4.91705496468428
ENST00000005374,-0.167658635870659,-0.437560509534337,1.38031072504579,0.26221578464387,0.352103696644887,-0.165056505734104,0.149691500775288,0.2942900604662,-0.566386617088961,1.41846886368894,0.915595292530356,1.0435615226638153,1.599150837793968,7.061404401076482,7.304029035228355,6.923638800419777,7.068392629807293
