V1,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me2,H3K4me3,H3K79me2,H3K9ac,H3K9me1,H3K9me3,H4K20me1,K562_AB_1_PROseq,K562_AB_2_PROseq,total_RNA_1_RNAseq_ex,total_RNA_2_RNAseq_ex,total_RNA_3_RNAseq_ex,total_RNA_4_RNAseq_ex
ENST00000380970,0.908559308415983,-0.314976140798219,0.00462208795854626,-0.136912319600692,2.25177163198598,1.58425166198244,1.07239345151329,2.19291419707954,-0.109324745458126,-0.390582465668008,1.1533409062667,4.688106857210087,4.817152317786062,2.610833985262938,2.722568058557083,2.1164982157245484,2.289467372105783
ENST00000414287,0.340550382658821,-0.341941134194742,-0.365968131019483,-0.237772096061,1.29519391903231,2.34902450949697,0.664041207503038,0.871134747078419,-0.0557258473404453,0.0215333808736286,0.487016225209616,5.174441561309066,5.332560553881738,3.9790620016813945,3.942992970059775,3.7460840601694154,3.870612861492897
ENST00000423222,-0.462260065178986,-0.515715536083446,-0.74723134830408,-0.469396164913244,-0.60756159969937,-0.40590207824284,-0.366900091276593,-0.54086598849852,-0.748882911293766,-0.592990115718795,-0.505275620491094,4.065972837513369,4.067361905693052,3.713823917823003,3.756165573347801,3.7263220107605126,3.6496748766572424
ENST00000427015,-0.446610943654306,-0.469061817349779,-0.196978991165502,-0.481448591031143,-0.586064035847031,-0.409184432224692,-0.29440133002501,-0.512103975072489,-0.15889526970695,-0.875990583791864,-0.045780124804552,4.382975500797154,4.2247868440545515,2.6787016301222195,3.2800625191158916,3.3234679385592423,3.0556793171039636
ENST00000431071,1.20307173180982,-0.0033806615495081,0.266703490819809,-0.414118120312357,1.21693295915203,1.12755118105033,1.68252401013808,0.623214293321642,-0.289586788353045,-0.155191989736217,-0.468464586722707,6.782916709195889,6.744580399062763,4.7551310038794,5.0514633983746515,4.7910880696408995,5.486773572160507
ENST00000431985,1.10370991937973,-0.177583079206411,-0.437121453063265,0.293168991343263,1.69225515181724,2.23079724512206,0.365961362112872,2.47584675973521,0.344313203498858,0.243939313494163,0.00866551414607301,3.9651537193969917,4.020788559012476,2.1805799852824714,1.3383342228005293,1.8374191260200694,1.9295264496511737
ENST00000434418,-0.0749932362210367,-0.492602684600712,-0.505902997705587,-0.507275218426639,-0.418628724242809,0.163398774523859,0.767607470707348,-0.0396430543277805,-0.711213002978127,-0.422418062822718,-0.79369296098529,3.119858817920184,3.0709894567033835,1.8218151222147378,2.3300666068169287,2.981154603481519,2.3687178106387945
ENST00000435996,-0.462260065178986,-0.298283525838466,0.352134912820376,-0.500297498042593,-0.587231046456158,-0.404510985364817,-0.358541934907712,-0.50857382855541,-0.0566791266529228,0.615928227995588,0.237851138873335,3.6223367818228662,3.6156241936430353,4.433428751025892,4.88027969096394,4.865786726699089,4.617761360065241
ENST00000444130,-0.454708049840616,-0.449373092012635,-0.55274560138441,-0.480904872559659,-0.611799690858832,-0.4061677926128,-0.366528683688214,-0.550819844251593,-0.441373455655897,-0.930640388571775,-0.954974113298616,3.852589017041745,3.724312225835847,3.645658167060911,3.864403034468117,3.220035147606536,3.2636439535464503
ENST00000446720,-0.444799365762043,-0.189139504947778,-0.107918749740702,-0.498847582118635,-0.602033654708769,-0.398258882542241,-0.299809024511808,-0.493295817399531,-0.502875346783471,-0.302298000503515,1.76114054061698,5.099607286929589,5.021837276779473,3.8568620693139386,3.458222958307611,3.8748457013351785,4.397338488578562
