V1,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me2,H3K4me3,H3K79me2,H3K9ac,H3K9me1,H3K9me3,H4K20me1,K562_AB_1_PROseq,K562_AB_2_PROseq,total_RNA_1_RNAseq_ex,total_RNA_2_RNAseq_ex,total_RNA_3_RNAseq_ex,total_RNA_4_RNAseq_ex
ENST00000000442,1.64048037397095,1.36185607180178,1.02555615024095,0.783738593873013,2.11063398536371,2.60220314260818,1.81340634558371,3.81179325678275,0.78417478098355,0.733072665868673,0.683715978390836,7.0418831225996525,6.798066268787693,7.213709529291629,7.3045711660734485,7.334460512881162,7.151473877054728
ENST00000001008,-0.207970148647225,-0.228275430094772,0.660169352824338,-0.0740961407626774,0.675325052550672,1.93470621010102,0.699956374178607,1.04633280637605,0.0839732382876802,-0.448153254730346,1.41900253886113,6.254348504169909,6.311563003574996,7.438465376899382,7.3832013372563505,7.39594936783241,7.415835605171888
ENST00000002125,-0.437244755459848,-0.147641717076027,-0.160171515492496,-0.160077356374587,-0.406515015227599,-0.456565348192749,-0.115300299544281,-0.245068315458704,1.91119621622023,-0.339546464853797,-0.0792471508580519,4.5372046501581655,4.950613954328911,4.951098139159704,5.216258209757611,4.9003235288684746,5.1118356317865965
ENST00000002165,-0.390302305904702,-0.507458823557526,-0.248495745066546,-0.269494678456524,-0.241833063897923,0.179502183661747,0.114310190266227,-0.0984477368884517,-0.168859596662222,-0.859023284899852,-0.784334054903824,6.773500259020773,6.703396821011022,7.458919695561741,7.405278620896241,7.434486966109576,7.459107352621604
ENST00000002501,-0.610300196537204,0.435001886672328,-0.693318156703889,0.503823597221633,-0.931395030996748,-0.500316677756846,-0.796255082490179,-0.264765507655399,-0.0206050786813993,-0.303963871219464,0.250487898426992,4.728784213606326,4.854385687991663,1.0168869375516738,1.0226380816246818,0.8257291717343216,0.891364284004235
ENST00000003302,-0.565265956171889,0.220845681127918,-0.495537951093211,-0.0377701757341362,-1.02591406017628,-0.537945597085855,-0.834506183522887,-0.680433264526487,-0.521432605803275,-0.589205560598364,-0.783173125005392,4.748004449966521,4.716024768561036,3.956957120339763,4.073506535143685,4.016057345968586,4.1221715275935695
ENST00000005257,-0.0590971052974798,-0.538671873758331,-0.214729223523199,-0.453101925082638,0.259345790704139,-0.366132568297131,-0.180486113229702,-0.367621585235568,-0.345584724067011,-0.0491053597520024,0.839636603282783,4.665627980106093,4.700605205925147,4.796619698988514,4.8135941284109824,4.86233754612618,4.877931975896498
ENST00000005260,0.144086894597701,2.30258272368715,-0.0284429170762921,-0.47353528041119203,0.151080285023898,-0.0662424185955298,-0.399389665197204,-0.187053434262008,-0.0352524230255689,-0.0890159586528792,-0.16021814150729,4.1789881339505675,4.282640366990347,2.4944344712923296,1.9495746194349586,1.8636970219333424,1.6256557438721155
ENST00000005340,-0.0725451969756904,-0.169317446382141,-0.71761711093604,-0.337093198056006,0.0308213910157044,0.437368232883205,-0.0200586477288418,-0.0176322473611764,-0.661898245575673,-0.66051598294309,-0.309653038033335,6.764832138384558,6.840216694006685,5.042275578025259,4.755204696064743,4.968712624799401,4.91705496468428
ENST00000005386,-0.588846688996637,-0.386074739443285,-0.44726357460537,0.0983057174574554,-0.767486211248878,-0.468100771003445,-0.344587595888205,-0.371421686623998,-0.623352602564701,-0.597048254705523,0.360791717843254,5.625488925602795,5.842081559311555,5.931346349631471,6.056855298708454,6.10588635310586,6.066702937295274
