V1,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me2,H3K4me3,H3K79me2,H3K9ac,H3K9me1,H3K9me3,H4K20me1,K562_AB_1_PROseq,K562_AB_2_PROseq,total_RNA_1_RNAseq_ex,total_RNA_2_RNAseq_ex,total_RNA_3_RNAseq_ex,total_RNA_4_RNAseq_ex
ENST00000005257,-0.0590971052974798,-0.538671873758331,-0.214729223523199,-0.453101925082638,0.259345790704139,-0.366132568297131,-0.180486113229702,-0.367621585235568,-0.345584724067011,-0.0491053597520024,0.839636603282783,4.665627980106093,4.700605205925147,4.796619698988514,4.8135941284109824,4.86233754612618,4.877931975896498
ENST00000005386,-0.588846688996637,-0.386074739443285,-0.44726357460537,0.0983057174574554,-0.767486211248878,-0.468100771003445,-0.344587595888205,-0.371421686623998,-0.623352602564701,-0.597048254705523,0.360791717843254,5.625488925602795,5.842081559311555,5.931346349631471,6.056855298708454,6.10588635310586,6.066702937295274
ENST00000008527,-0.0682706069963565,-0.132035191975625,-0.256379708492955,-0.448707655119508,0.992781743969214,-0.381770160182219,-0.478386228267227,-0.461800764645488,-0.219101848586869,0.473043785693528,1.33549298150065,4.594244203319009,4.629287746223777,5.223600240104295,5.197184340439611,5.228921110838124,5.263374567859758
ENST00000009041,-0.213868478636377,-0.337521105797589,-0.317254804064042,-0.232582810766232,0.0505411707567391,-0.551393309239501,-0.30955804115992003,-0.670172990777726,-0.617770130128629,0.929081924517228,-0.432804481658901,4.5321894495601,4.581767605363919,6.21301892468279,6.105341557880611,6.145627048888786,6.1123471350860115
ENST00000011619,1.75792838392139,-0.150242804592761,0.238096347531882,-0.291832217435768,1.92605005130876,3.04489812550102,1.74207870177079,2.07679363287195,0.381439269524081,-0.340243593218878,1.57370031759339,6.935268117896157,7.0173261652007115,6.240604756354689,6.275286740404105,6.237672808722594,6.16389480723394
ENST00000013125,-0.400490330431418,-0.773636779436611,-0.211647155747432,-0.598625498694959,-0.00433886053904385,-0.473482940202553,0.15340851988634,-0.637808793952932,-0.613835816221302,-0.146529048772047,0.0969200914625324,5.0627814459032665,5.138801259212002,4.3224040656087945,4.458686772824028,4.379863932856362,4.414875816453921
ENST00000019317,3.28439252130591,0.301479394146664,0.0795316230681167,0.116908126968039,2.58466213311044,2.31218287338632,1.35406993972463,2.3147433148108,0.073685539084062,0.621677362531801,0.654274796166625,5.551568276545481,5.509239435850565,6.043216341148136,6.178234763302745,6.204207448286075,6.186603400188568
ENST00000025008,0.423226682983143,-0.505724765213037,-0.014377790099588,-0.527218611794097,0.0778346853564859,-0.325774010147944,-0.120516411242486,-0.531912635262019,0.550508434730828,-0.347534394037015,1.85415002292371,5.733319958782351,5.717192727366439,5.702083194413493,5.803084407945113,5.767486274968705,5.849935353049699
ENST00000025301,0.676535159367439,-0.671327337111751,0.355317091003592,-0.576507673213871,0.307476924975302,-0.504233786572243,0.638984772444978,-0.58543072981574,-0.892427773983364,-0.544327922096287,-0.850770203224705,5.205435935586777,5.218960708433488,4.0850920181811965,4.228346686004139,4.252893078196173,4.20496361133182
ENST00000033079,-0.177544533517526,-0.654853782839104,-0.621851645903371,-0.236537653733049,-0.0920695974541161,-0.381384617975979,0.824495513739971,-0.501068478992597,-0.94240419388724594,-0.30919233395757,0.82038064603414,6.2931360172124915,6.309589256416051,4.89044345502525,5.022530832467204,4.830568527853248,5.0844975542276645
ENST00000038176,1.8673055249238,0.440204061705796,1.2783027358526,-0.516232936886272,1.96074002218795,0.567110896127038,0.547051236612511,0.569863427290082,-0.344707478398486,-0.642187316344506,-0.296341041864659,6.349025913247656,6.285164351271362,5.937307865088574,6.087871491685803,5.998275605938076,5.906294858284543
ENST00000039989,-0.0291170746355908,-0.600230944987696,-0.373328003984486,-0.525827092972439,0.572786629861772,-0.43335570737711,1.56107073802276,-0.528619214058713,0.399781678956888,1.12558498242438,1.07059973680931,5.455947247293831,5.295846947973164,5.5074914876840895,5.5482740345835655,5.4837305787608255,5.592823646714514
ENST00000040738,-0.465215879877033,-0.722482058274181,-0.6934884366915,-0.238734788714614,-0.083454350942207,-0.495458845958224,-0.391253269675928,-0.45952070381243,1.49846542077998,-0.47897213786996,0.507780922049938,5.710103393034811,5.796207424863743,3.8150410905111656,3.801729642572642,3.567587826483307,3.715685098945193
ENST00000040877,-0.362424326263275,0.487023637007003,-0.847217209507101,0.025653787400373,0.654470197461826,0.676913316464146,-0.575907548284471,0.445093431703301,1.34733991697489,1.12079222491445,-0.849346129215963,4.982101223739169,5.122218558322056,4.853066056199178,4.899114933443845,4.869513494720663,4.840097224864908
ENST00000046794,-0.405228126863165,1.9418985880334,-0.784400922077244,-0.552046237085781,-0.207682315364004,-0.531746078409518,-0.44737119809888,-0.685753406470289,-0.0230241500703637,1.12709542721539,-0.552922028483234,7.160676550133518,7.129075263650398,3.6318946816088777,3.6664669990236574,3.638222544369693,3.509770604523304
ENST00000066544,-0.152778092871656,-0.277696092912713,0.659198756894953,-0.495067203230529,-0.122692009820111,-0.443734503569087,1.59521151071793,-0.58416402935293,-0.891630277921068,0.959290820337397,-0.171982231144724,6.86439060862126,6.883143801428509,5.968317210208411,5.98165579873187,5.9949054107238275,6.027030016393378
ENST00000081029,-0.157518406729775,-0.54040593210282,-0.150516640194928,-0.396049653394667,0.556659203553396,-0.263933040267073,1.23981066092542,-0.246841696106638,0.139930878658781,0.364407948801768,0.807223440518588,5.593222200786352,5.598435826727399,7.893157255419364,7.872018813276245,8.001518715240968,7.86410152650532
ENST00000083182,-0.445630302704349,-0.42682511053878,-0.373413143978292,-0.500852992015317,0.118909147291802,-0.374275219692916,0.394095311501666,-0.351661159404162,-0.195522548344984,0.22762555416987,0.0640425567389649,5.269329141739791,5.37730535404623,4.246652786679814,4.125819217328541,4.218579839775441,4.151468575416529
ENST00000161863,-0.526369201301049,-0.42682511053878,-0.341468618302387,-0.312192334931603,-0.853813492744748,-0.49750993049542,-0.426674119351256,-0.687463452095082,-0.841122193975656,-0.663217355357778,-0.662699559678874,4.745208050417826,4.615589552776165,5.041344484383946,5.133220428500254,5.179318869763985,5.250759603715103
ENST00000163416,-0.417807706443101,-0.773636779436611,-0.374264543916349,-0.52890308194663,-0.434746628975971,-0.536295476443149,-0.446861014126628,-0.759538708428969,-0.0336574309009768,-0.213918124063192,-0.822644741552048,4.3750003846388354,4.396852522403005,5.014334917273907,5.157822109078478,5.0948189778294495,5.0941115952706655
ENST00000169298,1.1261173002563,-0.391276914476753,-0.162095679352505,0.140637184768941,1.65462915984253,1.66185027990095,0.691374433378396,1.82111014445376,0.110157692333065,0.0228150499121684,0.356937430580463,6.331131529286636,6.326036115794563,5.8751831619473265,5.66861101024577,5.8162346202103965,5.766734021758829
ENST00000181839,0.793842193441055,-0.210934846649881,-0.544544531527781,0.297219671121806,0.523887288413782,2.53946771480884,0.751898181308329,2.83029040317445,-1.05644613079557,-0.203896903815155,0.283953637632431,5.1329228012714685,5.100452594725364,4.197119135162838,4.132617176739091,4.285251665937199,4.11619699806728
ENST00000186436,-0.346881735843718,-0.604566090848919,-0.631574633195984,-0.435085418233805,-0.207377002255266,-0.450674263281404,0.189480373544361,-0.632171976893428,-0.00175758840913759,-0.233902470528842,-0.0211542187405619,5.440811234106341,5.442178452440567,3.6797292999550515,3.4026311705829047,3.679500572576696,3.530804470588497
ENST00000196169,-0.14338305765206,-0.117295696047467,-1.05698512624562,-0.462549605503367,-0.682651024461844,0.420666544508895,-0.781981473890931,0.724274213706616,-1.27110548756357,-1.43133662561599,-1.09972001064426,3.740812889414712,3.7384910283782262,4.379927784418245,4.509288935949362,4.441353509158102,4.489319973335009
ENST00000196371,-0.0824160257795585,3.07857383284604,-0.364473444628692,-0.143379130514693,0.635208387383899,0.127053021924879,-0.318879864146134,0.327796968847099,-0.564311310752722,0.032458658962453,-0.446782077636011,5.528399609245299,5.498191772175483,6.46759712326381,6.4271670226394635,6.441621068386684,6.628292923418434
ENST00000200135,-0.551923596401295,0.0144927381337089,1.37192267304136,-0.308457205462943,-0.599539379417689,-0.510448726936829,-0.430558212262179,-0.625015119278551,0.28760056619392,0.626470120041731,-0.244780275309007,5.352911884038335,5.450730714901111,6.093932917331159,6.1375889045973135,6.000028847510066,6.11352914782319
ENST00000202816,-0.200896180542439,-0.42682511053878,-0.10556272346551,-0.179192430714203,-0.460026061939038,-0.245241954108565,-0.111216519241504,-0.152282506557875,-0.657751266051734,-0.632195143111681,-0.49057235340483,5.772250282328301,5.8036893385588515,5.871799091484322,6.012869076832171,5.921547340640426,6.06934155774128
ENST00000205061,-0.292079881155779,-0.0132521953781176,-0.358479589064769,-0.380010568029243,0.343678688183248,-0.513517642898499,0.589682763379826,-0.61342481004384,0.305677143605962,0.0477083419485958,0.290083347496147,5.199100765800542,5.278745646906505,4.070854383616928,3.9603184898496973,4.060268863441397,4.043895564553079
