response,covariate,est,pvalue,z,se,ci.lower,ci.upper
Transcription_rate,gc_5utr,0.0559345309624583,NA,NA,NA,NA,NA
Transcription_rate,len_5utr,-0.0268466653732361,NA,NA,NA,NA,NA
Transcription_rate,gc_cds,-0.101127566248705,NA,NA,NA,NA,NA
Transcription_rate,len_cds,0.0476098795506146,NA,NA,NA,NA,NA
Transcription_rate,gc_3utr,-0.08988556470564,NA,NA,NA,NA,NA
Transcription_rate,len_3utr,0.0750950236785648,NA,NA,NA,NA,NA
Transcription_rate,gc_intron,0.165997743594429,NA,NA,NA,NA,NA
Transcription_rate,len_intron,-0.409351603963066,NA,NA,NA,NA,NA
Transcription_rate,exonJunDen,0.0157807418072813,NA,NA,NA,NA,NA
Half_life,gc_5utr,-0.00210601255885578,NA,NA,NA,NA,NA
Half_life,len_5utr,-0.105951353633125,NA,NA,NA,NA,NA
Half_life,gc_cds,-0.306495977694559,NA,NA,NA,NA,NA
Half_life,len_cds,-0.37390760272157,NA,NA,NA,NA,NA
Half_life,gc_3utr,-0.125289687674973,NA,NA,NA,NA,NA
Half_life,len_3utr,-0.299230037852037,NA,NA,NA,NA,NA
Half_life,gc_intron,0.0375100239257021,NA,NA,NA,NA,NA
Half_life,len_intron,0.0684836524896953,NA,NA,NA,NA,NA
Half_life,exonJunDen,0.436600448249146,NA,NA,NA,NA,NA
