,Schofield_et_al,Mele_et_al,Wachutka_et_al,Blumberg_et_al,biotype,gene_id,txtype,nexon,gc_gene,len_gene,gc_exon,len_exon,gc_5utr,len_5utr,gc_cds,len_cds,gc_3utr,len_3utr,gc_intron,len_intron,exonJunDen
ENSG00000000419,1.6096367811327796,3.4852773974454054,7.933863621140835,1.4695473796973961,protein_coding,ENSG00000000419,protein_coding,10.0,0.3984971927899025,23689.0,0.39276485788113696,1161.0,0.625,32.0,0.4259259259259259,864.0,0.2566037735849057,265.0,0.3987926136363637,22528.0,7.751937984496124
ENSG00000000971,2.470029197012268,3.8565150030320248,11.345990747828923,2.275594180007844,protein_coding,ENSG00000000971,protein_coding,22.0,0.3519926380624719,95627.0,0.3925369517809547,4127.0,0.3958333333333333,240.0,0.3982683982683983,3696.0,0.2774869109947644,191.0,0.3501639344262295,91500.0,5.088441967530894
ENSG00000001036,2.532117437147212,3.381633158261157,9.744478533383562,0.7020056248230859,protein_coding,ENSG00000001036,protein_coding,7.0,0.3968601895734597,16880.0,0.4401528013582343,2356.0,0.7857142857142857,56.0,0.4829059829059829,1404.0,0.3515625,896.0,0.3898375103277334,14524.0,2.546689303904924
ENSG00000001167,-1.450873019800733,0.5287449985642645,7.652094661830458,-0.9030959473538066,protein_coding,ENSG00000001167,protein_coding,10.0,0.4000073986386505,27032.0,0.4500131199160325,3811.0,0.6268656716417911,201.0,0.5335249042145593,1044.0,0.402182385035074,2566.0,0.3918005253865036,23221.0,2.3615848858567303
ENSG00000001497,2.331762533399275,4.07778106029993,9.966423253739183,-0.29221293969546897,protein_coding,ENSG00000001497,nonsense_mediated_decay,13.0,0.5045284549182174,22193.0,0.5195004803073967,5205.0,0.65,60.0,0.5228310502283106,876.0,0.5169828999765753,4269.0,0.4999411349187662,16988.0,2.3054755043227666
ENSG00000001629,-0.34071475191645717,1.289801224786134,8.238576361802105,-0.12088806812450749,protein_coding,ENSG00000001629,protein_coding,20.0,0.36828389421530144,155410.0,0.42712933753943216,6340.0,0.6839622641509434,636.0,0.4492354740061162,3270.0,0.3303204601479047,2434.0,0.3657811766284296,149070.0,2.996845425867508
ENSG00000003056,0.5506544499458608,2.5830319255573344,8.455559384599628,0.4217747121759865,protein_coding,ENSG00000003056,protein_coding,5.0,0.4238135773568845,9398.0,0.4620390455531453,2305.0,0.6436363636363637,275.0,0.4947916666666667,576.0,0.4147180192572215,1454.0,0.4113915127590582,7093.0,1.735357917570499
ENSG00000003393,0.20125745684324137,1.7676893999061012,8.640486743267495,-0.5556845297290613,protein_coding,ENSG00000003393,protein_coding,34.0,0.37983314118536704,80667.0,0.4519850187265918,6675.0,0.5641025641025641,117.0,0.4710494571773221,4974.0,0.3838383838383838,1584.0,0.3733241431506109,73992.0,4.943820224719102
ENSG00000003436,2.2140937124522573,3.4259335007352187,8.817946023607854,-0.5885152041885151,protein_coding,ENSG00000003436,protein_coding,8.0,0.3502871205906481,90206.0,0.3467219486913708,3859.0,0.3655462184873949,238.0,0.3879781420765027,915.0,0.3311160384331116,2706.0,0.3504464544222729,86347.0,1.8139414356050791
ENSG00000003756,-0.5446662033227774,0.9221476006228131,6.7408832551405595,-0.20252448612206003,protein_coding,ENSG00000003756,protein_coding,25.0,0.4445108587368002,30114.0,0.493099121706399,3188.0,0.5371428571428571,175.0,0.4975490196078432,2448.0,0.4601769911504425,565.0,0.43875807769442177,26926.0,7.52823086574655
ENSG00000004478,2.357622378269515,3.0006178821549536,10.283418596442688,1.1231081951786863,protein_coding,ENSG00000004478,protein_coding,10.0,0.515305146355462,10454.0,0.5098250336473755,3715.0,0.7823529411764706,170.0,0.5304347826086957,1380.0,0.4752886836027714,2165.0,0.5183261611515062,6739.0,2.4226110363391657
ENSG00000004487,2.4985189540856747,2.5374254606365794,8.804408411182713,2.1111923129280497,protein_coding,ENSG00000004487,protein_coding,19.0,0.39164409576289655,64242.0,0.5117045829212001,3033.0,0.785234899328859,149.0,0.5064478311840562,2559.0,0.4276923076923077,325.0,0.3856949141466125,61209.0,5.934718100890208
ENSG00000004534,1.3988428604555472,2.3486127812194577,8.134183614872027,0.9052958713849388,protein_coding,ENSG00000004534,nonsense_mediated_decay,21.0,0.4411359939947454,159860.0,0.479931682322801,2342.0,0.4764890282131661,319.0,0.4933333333333334,600.0,0.4750527055516514,1423.0,0.4405591741896164,157518.0,8.539709649871904
ENSG00000004864,2.5203468115194014,2.978504762933368,7.870677227356522,0.5059022464904364,protein_coding,ENSG00000004864,protein_coding,18.0,0.39759913235971417,201927.0,0.44862155388471175,3192.0,0.7434554973821992,191.0,0.4598719842442146,2031.0,0.3670103092783505,970.0,0.3967796311671321,198735.0,5.325814536340852
ENSG00000004897,0.45943161863729726,1.1753231792439525,8.052268351998881,-0.8804079489285677,protein_coding,ENSG00000004897,protein_coding,19.0,0.3862109424105709,71593.0,0.3680960548885077,5830.0,0.6910569105691057,123.0,0.39797979797979793,2475.0,0.33292079207920794,3232.0,0.3878168575034594,65763.0,3.0874785591766725
