HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Synonyms	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:4715	HIST1H1A	histone cluster 1 H1 family member a	Approved	gene with protein product	H1F1	H1.1, H1a	6p22.2	3024	ENSG00000124610	OTTHUMG00000016413	864	Histones
HGNC:4719	HIST1H1B	histone cluster 1 H1 family member b	Approved	gene with protein product	H1F5	H1.5, H1b, H1s-3	6p22.1	3009	ENSG00000184357	OTTHUMG00000016139	864	Histones
HGNC:4716	HIST1H1C	histone cluster 1 H1 family member c	Approved	gene with protein product	H1F2	H1.2, H1s-1, H1c	6p22.2	3006	ENSG00000187837	OTTHUMG00000016140	864	Histones
HGNC:4717	HIST1H1D	histone cluster 1 H1 family member d	Approved	gene with protein product	H1F3	H1.3, H1d, H1s-2	6p22.2	3007	ENSG00000124575	OTTHUMG00000014432	864	Histones
HGNC:4718	HIST1H1E	histone cluster 1 H1 family member e	Approved	gene with protein product	H1F4	H1.4, H1e, H1s-4	6p22.2	3008	ENSG00000168298	OTTHUMG00000014422	864	Histones
HGNC:19163	HIST1H1PS1	histone cluster 1 H1 pseudogene 1	Approved	pseudogene		dJ34B20.16, FLJ39701, H1F6P	6p22.2	387325	ENSG00000216331	OTTHUMG00000014431	864	Histones
HGNC:4770	HIST1H1PS2	histone cluster 1 H1 pseudogene 2	Approved	pseudogene	H3FEP	pH3/e	6p22.2	10338	ENSG00000224447	OTTHUMG00000036301	864	Histones
HGNC:4720	HIST1H1T	histone cluster 1 H1 family member t	Approved	gene with protein product	H1FT	H1t	6p22.2	3010	ENSG00000187475	OTTHUMG00000014430	864	Histones
HGNC:18729	HIST1H2AA	histone cluster 1 H2A family member a	Approved	gene with protein product		bA317E16.2, H2AFR	6p22.2	221613	ENSG00000164508	OTTHUMG00000014407	864	Histones
HGNC:4734	HIST1H2AB	histone cluster 1 H2A family member b	Approved	gene with protein product	H2AFM	H2A/m	6p22.2	8335	ENSG00000278463	OTTHUMG00000014420	864	Histones
HGNC:4733	HIST1H2AC	histone cluster 1 H2A family member c	Approved	gene with protein product	H2AFL		6p22.2	8334	ENSG00000180573	OTTHUMG00000014428	864	Histones
HGNC:4729	HIST1H2AD	histone cluster 1 H2A family member d	Approved	gene with protein product	H2AFG	H2A/g, H2A.3	6p22.2	3013	ENSG00000196866	OTTHUMG00000014437	864	Histones
HGNC:4724	HIST1H2AE	histone cluster 1 H2A family member e	Approved	gene with protein product	H2AFA	H2A/a, H2A.1	6p22.2	3012	ENSG00000277075	OTTHUMG00000014440	864	Histones
HGNC:4737	HIST1H2AG	histone cluster 1 H2A family member g	Approved	gene with protein product	H2AFP	pH2A/f, H2A/p, H2A.1b	6p22.1	8969	ENSG00000196787	OTTHUMG00000014469	864	Histones
HGNC:13671	HIST1H2AH	histone cluster 1 H2A family member h	Approved	gene with protein product		H2AFALii, dJ86C11.1, H2A/S	6p22.1	85235	ENSG00000274997	OTTHUMG00000014468	864	Histones
HGNC:4725	HIST1H2AI	histone cluster 1 H2A family member i	Approved	gene with protein product	H2AFC	H2A/c	6p22.1	8329	ENSG00000196747	OTTHUMG00000014484	864	Histones
HGNC:4727	HIST1H2AJ	histone cluster 1 H2A family member j	Approved	gene with protein product	H2AFE	H2A/E	6p22.1	8331	ENSG00000276368	OTTHUMG00000014486	864	Histones
HGNC:4726	HIST1H2AK	histone cluster 1 H2A family member k	Approved	gene with protein product	H2AFD	H2A/d	6p22.1	8330	ENSG00000275221	OTTHUMG00000016382	864	Histones
HGNC:4730	HIST1H2AL	histone cluster 1 H2A family member l	Approved	gene with protein product	H2AFI	H2A/i, dJ193B12.9	6p22.1	8332	ENSG00000276903	OTTHUMG00000014492	864	Histones
HGNC:4735	HIST1H2AM	histone cluster 1 H2A family member m	Approved	gene with protein product	H2AFN	H2A/n, H2A.1	6p22.1	8336	ENSG00000278677	OTTHUMG00000014494	864	Histones
HGNC:18720	HIST1H2APS1	histone cluster 1 H2A pseudogene 1	Approved	pseudogene		bA317E16.5, H2AFSP	6p22.2	387319	ENSG00000216436	OTTHUMG00000014405	864	Histones
HGNC:18804	HIST1H2APS2	histone cluster 1 H2A pseudogene 2	Approved	pseudogene	H2AFTP	dJ139G21.2, H2A/T	6p22.2	85303	ENSG00000242387	OTTHUMG00000187599	864	Histones
HGNC:18805	HIST1H2APS3	histone cluster 1 H2A pseudogene 3	Approved	pseudogene		dJ34B20.8, H2AFUP	6p22.2	387323	ENSG00000218281	OTTHUMG00000014439	864	Histones
HGNC:4732	HIST1H2APS4	histone cluster 1 H2A pseudogene 4	Approved	pseudogene	H2AFK, H2AFKP	pH2A/k, dJ34B20.2	6p22.2	8333	ENSG00000218690	OTTHUMG00000014438	864	Histones
HGNC:4728	HIST1H2APS5	histone cluster 1 H2A pseudogene 5	Approved	pseudogene	H2AFFP	pH2A/f	6p22.2	10341	ENSG00000234816	OTTHUMG00000037055	864	Histones
HGNC:18730	HIST1H2BA	histone cluster 1 H2B family member a	Approved	gene with protein product		bA317E16.3, STBP, TSH2B, H2BFU	6p22.2	255626	ENSG00000146047	OTTHUMG00000014408	864	Histones
HGNC:4751	HIST1H2BB	histone cluster 1 H2B family member b	Approved	gene with protein product	H2BFF	H2B/f	6p22.2	3018	ENSG00000276410	OTTHUMG00000014421	864	Histones
HGNC:4757	HIST1H2BC	histone cluster 1 H2B family member c	Approved	gene with protein product	H2BFL	H2B/l, H2B.1	6p22.2	8347	ENSG00000180596	OTTHUMG00000014425	864	Histones
HGNC:4747	HIST1H2BD	histone cluster 1 H2B family member d	Approved	gene with protein product	H2BFB	H2B/b	6p22.2	3017	ENSG00000158373	OTTHUMG00000014426	864	Histones
HGNC:4753	HIST1H2BE	histone cluster 1 H2B family member e	Approved	gene with protein product	H2BFH	H2B/h, H2B.h	6p22.2	8344	ENSG00000274290	OTTHUMG00000014427	864	Histones
HGNC:4752	HIST1H2BF	histone cluster 1 H2B family member f	Approved	gene with protein product	H2BFG	H2B/g	6p22.2	8343	ENSG00000277224	OTTHUMG00000014445	864	Histones
HGNC:4746	HIST1H2BG	histone cluster 1 H2B family member g	Approved	gene with protein product	H2BFA	H2B/a, H2B.1A	6p22.2	8339	ENSG00000273802	OTTHUMG00000014446	864	Histones
HGNC:4755	HIST1H2BH	histone cluster 1 H2B family member h	Approved	gene with protein product	H2BFJ	H2B/j	6p22.2	8345	ENSG00000275713	OTTHUMG00000014447	864	Histones
HGNC:4756	HIST1H2BI	histone cluster 1 H2B family member i	Approved	gene with protein product	H2BFK	H2B/k	6p22.2	8346	ENSG00000278588	OTTHUMG00000014448	864	Histones
HGNC:4761	HIST1H2BJ	histone cluster 1 H2B family member j	Approved	gene with protein product	H2BFR	H2B/r	6p22.1	8970	ENSG00000124635	OTTHUMG00000014470	864	Histones
HGNC:13954	HIST1H2BK	histone cluster 1 H2B family member k	Approved	gene with protein product	H2BFT	H2BFAiii	6p22.1	85236	ENSG00000197903	OTTHUMG00000014473	864	Histones
HGNC:4748	HIST1H2BL	histone cluster 1 H2B family member l	Approved	gene with protein product	H2BFC	H2B/c, dJ97D16.4	6p22.1	8340	ENSG00000185130	OTTHUMG00000014485	864	Histones
HGNC:4750	HIST1H2BM	histone cluster 1 H2B family member m	Approved	gene with protein product	H2BFE	H2B/e, dJ160A22.3	6p22.1	8342	ENSG00000273703	OTTHUMG00000014489	864	Histones
HGNC:4749	HIST1H2BN	histone cluster 1 H2B family member n	Approved	gene with protein product	H2BFD	H2B/d	6p22.1	8341	ENSG00000233822	OTTHUMG00000016397	864	Histones
HGNC:4758	HIST1H2BO	histone cluster 1 H2B family member o	Approved	gene with protein product	H2BFN	H2B/n, H2B.2	6p22.1	8348	ENSG00000274641	OTTHUMG00000014493	864	Histones
HGNC:18719	HIST1H2BPS1	histone cluster 1 H2B pseudogene 1	Approved	pseudogene		bA317E16.4, H2BFVP	6p22.2	100288742	ENSG00000178762	OTTHUMG00000014406	864	Histones
HGNC:4754	HIST1H2BPS2	histone cluster 1 H2B pseudogene 2	Approved	pseudogene	H2BFIP	pH2B/i	6p22.1	10340	ENSG00000217646	OTTHUMG00000014491	864	Histones
